sHomeName,sAwayName,iHomeGoals,iAwayGoals,sRegularPP,sCalendar,sMatchInfo,sStadium,sSpectators,dDate,iSpectators,sHome,sAway
HC Nové Zámky ,HC 07 Detva,3,1,," Piatok 22.12.2017, 18:30"," 29. kolo, Číslo zápasu 142", ZŠ Nové Zámky, 658 divákov,2017-12-22 18:30:00,658.0,NZ,DT
HC Košice,MHK 32 Liptovský Mikuláš,3,2,sn," Piatok 22.12.2017, 17:30"," 29. kolo, Číslo zápasu 143", STEEL Arena Košice, 3491 divákov,2017-12-22 17:30:00,3491.0,KE,LM
HK DUKLA Trenčín,HK Poprad,0,2,," Piatok 22.12.2017, 18:00"," 29. kolo, Číslo zápasu 144"," ZŠ Pavla Demitru, Trenčín", 2717 divákov,2017-12-22 18:00:00,2717.0,TN,PP
MsHK DOXXbet Žilina,HC ‘05 iClinic Banská Bystrica,2,5,," Piatok 22.12.2017, 18:00"," 29. kolo, Číslo zápasu 145", _, 887 divákov,2017-12-22 18:00:00,887.0,ZI,BB
HK Nitra,MsHK DOXXbet Žilina,3,5,," Utorok 26.12.2017, 16:00"," 30. kolo, Číslo zápasu 146", Nitra Aréna, 2779 divákov,2017-12-26 16:00:00,2779.0,NR,ZI
HC ‘05 iClinic Banská Bystrica,HK DUKLA Trenčín,3,2,," Utorok 26.12.2017, 17:00"," 30. kolo, Číslo zápasu 147", ZŠ Banská Bystrica, 2841 divákov,2017-12-26 17:00:00,2841.0,BB,TN
HK Poprad,HC Košice,4,2,," Utorok 26.12.2017, 17:00"," 30. kolo, Číslo zápasu 148", ZŠ Poprad, 3268 divákov,2017-12-26 17:00:00,3268.0,PP,KE
MHK 32 Liptovský Mikuláš,HC Nové Zámky ,3,4,pp," Utorok 26.12.2017, 17:00"," 30. kolo, Číslo zápasu 149", ZŠ Lipt. Mikuláš, 1000 divákov,2017-12-26 17:00:00,1000.0,LM,NZ
HC 07 Detva,HKM Zvolen,2,5,," Utorok 26.12.2017, 18:00"," 30. kolo, Číslo zápasu 150", ZŠ Detva, 1215 divákov,2017-12-26 18:00:00,1215.0,DT,ZV
HK Nitra,HC 07 Detva,5,4,," Štvrtok 28.12.2017, 18:00"," 31. kolo, Číslo zápasu 151", Nitra Aréna, 2018 divákov,2017-12-28 18:00:00,2018.0,NR,DT
HKM Zvolen,MHK 32 Liptovský Mikuláš,4,2,," Štvrtok 28.12.2017, 18:00"," 31. kolo, Číslo zápasu 152", ZŠ Zvolen, 1916 divákov,2017-12-28 18:00:00,1916.0,ZV,LM
HC Nové Zámky ,HK Poprad,2,3,," Štvrtok 28.12.2017, 18:30"," 31. kolo, Číslo zápasu 153", ZŠ Nové Zámky, 1352 divákov,2017-12-28 18:30:00,1352.0,NZ,PP
HC Košice,HC ‘05 iClinic Banská Bystrica,2,4,," Štvrtok 28.12.2017, 17:30"," 31. kolo, Číslo zápasu 154", STEEL Arena Košice, 8347 divákov,2017-12-28 17:30:00,8347.0,KE,BB
HK DUKLA Trenčín,MsHK DOXXbet Žilina,3,2,," Štvrtok 28.12.2017, 18:00"," 31. kolo, Číslo zápasu 155"," ZŠ Pavla Demitru, Trenčín", 3227 divákov,2017-12-28 18:00:00,3227.0,TN,ZI
HK Nitra,HK DUKLA Trenčín,5,1,," Sobota 30.12.2017, 16:00"," 32. kolo, Číslo zápasu 156", Nitra Aréna, 3360 divákov,2017-12-30 16:00:00,3360.0,NR,TN
MsHK DOXXbet Žilina,HC Košice,3,2,," Sobota 30.12.2017, 17:00"," 32. kolo, Číslo zápasu 157", _, 1021 divákov,2017-12-30 17:00:00,1021.0,ZI,KE
HC ‘05 iClinic Banská Bystrica,HC Nové Zámky ,8,1,," Sobota 30.12.2017, 17:00"," 32. kolo, Číslo zápasu 158", ZŠ Banská Bystrica, 2711 divákov,2017-12-30 17:00:00,2711.0,BB,NZ
HK Poprad,HKM Zvolen,2,3,sn," Sobota 30.12.2017, 17:00"," 32. kolo, Číslo zápasu 159", ZŠ Poprad, 2539 divákov,2017-12-30 17:00:00,2539.0,PP,ZV
MHK 32 Liptovský Mikuláš,HC 07 Detva,0,1,," Sobota 30.12.2017, 17:00"," 32. kolo, Číslo zápasu 160", ZŠ Lipt. Mikuláš, 900 divákov,2017-12-30 17:00:00,900.0,LM,DT
MHK 32 Liptovský Mikuláš,HK Nitra,1,3,," Streda 03.01.2018, 17:00"," 33. kolo, Číslo zápasu 161", ZŠ Lipt. Mikuláš, 900 divákov,2018-01-03 17:00:00,900.0,LM,NR
HC 07 Detva,HK Poprad,1,3,," Streda 03.01.2018, 18:00"," 33. kolo, Číslo zápasu 162", ZŠ Detva, 440 divákov,2018-01-03 18:00:00,440.0,DT,PP
HKM Zvolen,HC ‘05 iClinic Banská Bystrica,1,8,," Streda 03.01.2018, 18:00"," 33. kolo, Číslo zápasu 163", ZŠ Zvolen, 3895 divákov,2018-01-03 18:00:00,3895.0,ZV,BB
HC Nové Zámky ,MsHK DOXXbet Žilina,5,4,pp," Streda 03.01.2018, 18:30"," 33. kolo, Číslo zápasu 164", ZŠ Nové Zámky, 839 divákov,2018-01-03 18:30:00,839.0,NZ,ZI
HC Košice,HK DUKLA Trenčín,4,2,," Streda 03.01.2018, 17:30"," 33. kolo, Číslo zápasu 165", STEEL Arena Košice, 5687 divákov,2018-01-03 17:30:00,5687.0,KE,TN
HK Nitra,HC Košice,4,3,pp," Sobota 06.01.2018, 16:00"," 34. kolo, Číslo zápasu 166", Nitra Aréna, 3510 divákov,2018-01-06 16:00:00,3510.0,NR,KE
HK DUKLA Trenčín,HC Nové Zámky ,3,1,," Sobota 06.01.2018, 15:00"," 34. kolo, Číslo zápasu 167"," ZŠ Pavla Demitru, Trenčín", 2452 divákov,2018-01-06 15:00:00,2452.0,TN,NZ
MsHK DOXXbet Žilina,HKM Zvolen,0,3,," Sobota 06.01.2018, 17:00"," 34. kolo, Číslo zápasu 168", _, 1278 divákov,2018-01-06 17:00:00,1278.0,ZI,ZV
HC ‘05 iClinic Banská Bystrica,HC 07 Detva,9,1,," Sobota 06.01.2018, 17:00"," 34. kolo, Číslo zápasu 169", ZŠ Banská Bystrica, 2841 divákov,2018-01-06 17:00:00,2841.0,BB,DT
HK Poprad,MHK 32 Liptovský Mikuláš,3,2,," Sobota 06.01.2018, 17:00"," 34. kolo, Číslo zápasu 170", ZŠ Poprad, 1521 divákov,2018-01-06 17:00:00,1521.0,PP,LM
HK Poprad,HK Nitra,3,4,," Nedeľa 07.01.2018, 17:00"," 35. kolo, Číslo zápasu 171", ZŠ Poprad, 1596 divákov,2018-01-07 17:00:00,1596.0,PP,NR
MHK 32 Liptovský Mikuláš,HC ‘05 iClinic Banská Bystrica,4,3,sn," Nedeľa 07.01.2018, 16:00"," 35. kolo, Číslo zápasu 172", ZŠ Lipt. Mikuláš, 679 divákov,2018-01-07 16:00:00,679.0,LM,BB
HC 07 Detva,MsHK DOXXbet Žilina,4,1,," Nedeľa 07.01.2018, 17:00"," 35. kolo, Číslo zápasu 173", ZŠ Detva, 300 divákov,2018-01-07 17:00:00,300.0,DT,ZI
HKM Zvolen,HK DUKLA Trenčín,3,4,sn," Nedeľa 07.01.2018, 17:00"," 35. kolo, Číslo zápasu 174", ZŠ Zvolen, 1679 divákov,2018-01-07 17:00:00,1679.0,ZV,TN
HC Nové Zámky ,HC Košice,1,2,pp," Nedeľa 07.01.2018, 16:00"," 35. kolo, Číslo zápasu 175", ZŠ Nové Zámky, 1120 divákov,2018-01-07 16:00:00,1120.0,NZ,KE
HK Nitra,HC Nové Zámky ,5,1,," Piatok 12.01.2018, 18:00"," 36. kolo, Číslo zápasu 176", Nitra Aréna, 2817 divákov,2018-01-12 18:00:00,2817.0,NR,NZ
HC Košice,HKM Zvolen,6,2,," Piatok 12.01.2018, 17:30"," 36. kolo, Číslo zápasu 177", STEEL Arena Košice, 4617 divákov,2018-01-12 17:30:00,4617.0,KE,ZV
HK DUKLA Trenčín,HC 07 Detva,2,5,," Piatok 12.01.2018, 18:00"," 36. kolo, Číslo zápasu 178"," ZŠ Pavla Demitru, Trenčín", 2310 divákov,2018-01-12 18:00:00,2310.0,TN,DT
MsHK DOXXbet Žilina,MHK 32 Liptovský Mikuláš,2,3,pp," Piatok 12.01.2018, 18:00"," 36. kolo, Číslo zápasu 179", _, 882 divákov,2018-01-12 18:00:00,882.0,ZI,LM
HC ‘05 iClinic Banská Bystrica,HK Poprad,2,3,," Piatok 12.01.2018, 17:30"," 36. kolo, Číslo zápasu 180", ZŠ Banská Bystrica, 2527 divákov,2018-01-12 17:30:00,2527.0,BB,PP
HC ‘05 iClinic Banská Bystrica,HK Nitra,6,3,," Nedeľa 14.01.2018, 16:00"," 37. kolo, Číslo zápasu 181", ZŠ Banská Bystrica, 2710 divákov,2018-01-14 16:00:00,2710.0,BB,NR
MsHK DOXXbet Žilina,HK Poprad,4,2,," Nedeľa 14.01.2018, 17:00"," 37. kolo, Číslo zápasu 182", _, 801 divákov,2018-01-14 17:00:00,801.0,ZI,PP
HK DUKLA Trenčín,MHK 32 Liptovský Mikuláš,1,2,," Nedeľa 14.01.2018, 17:00"," 37. kolo, Číslo zápasu 183"," ZŠ Pavla Demitru, Trenčín", 2181 divákov,2018-01-14 17:00:00,2181.0,TN,LM
HC Košice,HC 07 Detva,4,3,," Nedeľa 14.01.2018, 17:00"," 37. kolo, Číslo zápasu 184", STEEL Arena Košice, 3178 divákov,2018-01-14 17:00:00,3178.0,KE,DT
HC Nové Zámky ,HKM Zvolen,1,4,," Nedeľa 14.01.2018, 16:00"," 37. kolo, Číslo zápasu 185", ZŠ Nové Zámky, 834 divákov,2018-01-14 16:00:00,834.0,NZ,ZV
HK Nitra,HKM Zvolen,2,1,," Piatok 19.01.2018, 18:00"," 38. kolo, Číslo zápasu 186", Nitra Aréna, 2704 divákov,2018-01-19 18:00:00,2704.0,NR,ZV
HC 07 Detva,HC Nové Zámky ,0,2,," Piatok 19.01.2018, 18:00"," 38. kolo, Číslo zápasu 187", ZŠ Detva, 536 divákov,2018-01-19 18:00:00,536.0,DT,NZ
MHK 32 Liptovský Mikuláš,HC Košice,2,4,," Piatok 19.01.2018, 17:00"," 38. kolo, Číslo zápasu 188", ZŠ Lipt. Mikuláš, 1464 divákov,2018-01-19 17:00:00,1464.0,LM,KE
HK Poprad,HK DUKLA Trenčín,5,4,," Piatok 19.01.2018, 17:00"," 38. kolo, Číslo zápasu 189", ZŠ Poprad, 1338 divákov,2018-01-19 17:00:00,1338.0,PP,TN
HC ‘05 iClinic Banská Bystrica,MsHK DOXXbet Žilina,5,2,," Piatok 19.01.2018, 17:30"," 38. kolo, Číslo zápasu 190", ZŠ Banská Bystrica, 2457 divákov,2018-01-19 17:30:00,2457.0,BB,ZI
MsHK DOXXbet Žilina,HK Nitra,2,3,," Nedeľa 21.01.2018, 17:00"," 39. kolo, Číslo zápasu 191", _, 1001 divákov,2018-01-21 17:00:00,1001.0,ZI,NR
HK DUKLA Trenčín,HC ‘05 iClinic Banská Bystrica,1,0,," Nedeľa 21.01.2018, 17:00"," 39. kolo, Číslo zápasu 192"," ZŠ Pavla Demitru, Trenčín", 2878 divákov,2018-01-21 17:00:00,2878.0,TN,BB
HC Košice,HK Poprad,6,2,," Nedeľa 21.01.2018, 16:00"," 39. kolo, Číslo zápasu 193", STEEL Arena Košice, 4601 divákov,2018-01-21 16:00:00,4601.0,KE,PP
HC Nové Zámky ,MHK 32 Liptovský Mikuláš,3,2,," Nedeľa 21.01.2018, 16:00"," 39. kolo, Číslo zápasu 194", ZŠ Nové Zámky, 1158 divákov,2018-01-21 16:00:00,1158.0,NZ,LM
HKM Zvolen,HC 07 Detva,6,3,," Nedeľa 21.01.2018, 17:00"," 39. kolo, Číslo zápasu 195", ZŠ Zvolen, 2102 divákov,2018-01-21 17:00:00,2102.0,ZV,DT
HC 07 Detva,HK Nitra,2,3,," Piatok 26.01.2018, 18:00"," 40. kolo, Číslo zápasu 196", ZŠ Detva, 545 divákov,2018-01-26 18:00:00,545.0,DT,NR
MHK 32 Liptovský Mikuláš,HKM Zvolen,4,3,," Piatok 26.01.2018, 17:00"," 40. kolo, Číslo zápasu 197", ZŠ Lipt. Mikuláš, 850 divákov,2018-01-26 17:00:00,850.0,LM,ZV
HK Poprad,HC Nové Zámky ,3,4,sn," Piatok 26.01.2018, 17:00"," 40. kolo, Číslo zápasu 198", ZŠ Poprad, 1044 divákov,2018-01-26 17:00:00,1044.0,PP,NZ
HC ‘05 iClinic Banská Bystrica,HC Košice,5,2,," Piatok 26.01.2018, 17:30"," 40. kolo, Číslo zápasu 199", ZŠ Banská Bystrica, 2763 divákov,2018-01-26 17:30:00,2763.0,BB,KE
MsHK DOXXbet Žilina,HK DUKLA Trenčín,2,1,," Piatok 26.01.2018, 18:00"," 40. kolo, Číslo zápasu 200", _, 1003 divákov,2018-01-26 18:00:00,1003.0,ZI,TN
HK DUKLA Trenčín,HK Nitra,1,3,," Nedeľa 28.01.2018, 16:00"," 41. kolo, Číslo zápasu 201"," ZŠ Pavla Demitru, Trenčín", 3229 divákov,2018-01-28 16:00:00,3229.0,TN,NR
HC Košice,MsHK DOXXbet Žilina,6,3,," Nedeľa 28.01.2018, 17:00"," 41. kolo, Číslo zápasu 202", STEEL Arena Košice, 3874 divákov,2018-01-28 17:00:00,3874.0,KE,ZI
HC Nové Zámky ,HC ‘05 iClinic Banská Bystrica,3,1,," Nedeľa 28.01.2018, 16:00"," 41. kolo, Číslo zápasu 203", ZŠ Nové Zámky, 1058 divákov,2018-01-28 16:00:00,1058.0,NZ,BB
HKM Zvolen,HK Poprad,5,3,," Nedeľa 28.01.2018, 17:00"," 41. kolo, Číslo zápasu 204", ZŠ Zvolen, 1189 divákov,2018-01-28 17:00:00,1189.0,ZV,PP
HC 07 Detva,MHK 32 Liptovský Mikuláš,6,3,," Nedeľa 28.01.2018, 17:00"," 41. kolo, Číslo zápasu 205", ZŠ Detva, 411 divákov,2018-01-28 17:00:00,411.0,DT,LM
HK Nitra,MHK 32 Liptovský Mikuláš,7,4,," Piatok 02.02.2018, 18:00"," 42. kolo, Číslo zápasu 206", Nitra Aréna, 2820 divákov,2018-02-02 18:00:00,2820.0,NR,LM
HK Poprad,HC 07 Detva,0,2,," Piatok 02.02.2018, 17:00"," 42. kolo, Číslo zápasu 207", ZŠ Poprad, 793 divákov,2018-02-02 17:00:00,793.0,PP,DT
HC ‘05 iClinic Banská Bystrica,HKM Zvolen,3,2,sn," Piatok 02.02.2018, 17:30"," 42. kolo, Číslo zápasu 208", ZŠ Banská Bystrica, 2841 divákov,2018-02-02 17:30:00,2841.0,BB,ZV
MsHK DOXXbet Žilina,HC Nové Zámky ,3,0,," Piatok 02.02.2018, 18:00"," 42. kolo, Číslo zápasu 209", _, 802 divákov,2018-02-02 18:00:00,802.0,ZI,NZ
HK DUKLA Trenčín,HC Košice,3,1,," Piatok 02.02.2018, 18:00"," 42. kolo, Číslo zápasu 210"," ZŠ Pavla Demitru, Trenčín", 3280 divákov,2018-02-02 18:00:00,3280.0,TN,KE
HC Košice,HK Nitra,2,5,," Nedeľa 04.02.2018, 16:00"," 43. kolo, Číslo zápasu 211", STEEL Arena Košice, 4402 divákov,2018-02-04 16:00:00,4402.0,KE,NR
HC Nové Zámky ,HK DUKLA Trenčín,0,2,," Nedeľa 04.02.2018, 16:00"," 43. kolo, Číslo zápasu 212", ZŠ Nové Zámky, 867 divákov,2018-02-04 16:00:00,867.0,NZ,TN
HKM Zvolen,MsHK DOXXbet Žilina,1,2,sn," Nedeľa 04.02.2018, 17:00"," 43. kolo, Číslo zápasu 213", ZŠ Zvolen, 1191 divákov,2018-02-04 17:00:00,1191.0,ZV,ZI
HC 07 Detva,HC ‘05 iClinic Banská Bystrica,6,5,," Nedeľa 04.02.2018, 17:00"," 43. kolo, Číslo zápasu 214", ZŠ Detva, 730 divákov,2018-02-04 17:00:00,730.0,DT,BB
MHK 32 Liptovský Mikuláš,HK Poprad,1,3,," Nedeľa 04.02.2018, 17:00"," 43. kolo, Číslo zápasu 215", ZŠ Lipt. Mikuláš, 850 divákov,2018-02-04 17:00:00,850.0,LM,PP
HK Nitra,HK Poprad,3,2,," Streda 07.02.2018, 18:00"," 44. kolo, Číslo zápasu 216", Nitra Aréna, 2257 divákov,2018-02-07 18:00:00,2257.0,NR,PP
HC ‘05 iClinic Banská Bystrica,MHK 32 Liptovský Mikuláš,6,1,," Streda 07.02.2018, 17:30"," 44. kolo, Číslo zápasu 217", ZŠ Banská Bystrica, 2292 divákov,2018-02-07 17:30:00,2292.0,BB,LM
MsHK DOXXbet Žilina,HC 07 Detva,4,5,pp," Streda 07.02.2018, 18:00"," 44. kolo, Číslo zápasu 218", _, 1205 divákov,2018-02-07 18:00:00,1205.0,ZI,DT
HK DUKLA Trenčín,HKM Zvolen,1,3,," Streda 07.02.2018, 18:00"," 44. kolo, Číslo zápasu 219"," ZŠ Pavla Demitru, Trenčín", 2360 divákov,2018-02-07 18:00:00,2360.0,TN,ZV
HC Košice,HC Nové Zámky ,3,2,sn," Streda 07.02.2018, 17:30"," 44. kolo, Číslo zápasu 220", STEEL Arena Košice, 2649 divákov,2018-02-07 17:30:00,2649.0,KE,NZ
HC Nové Zámky ,HK Nitra,4,3,sn," Piatok 09.02.2018, 18:30"," 45. kolo, Číslo zápasu 221", ZŠ Nové Zámky, 1524 divákov,2018-02-09 18:30:00,1524.0,NZ,NR
HKM Zvolen,HC Košice,1,2,," Piatok 09.02.2018, 18:00"," 45. kolo, Číslo zápasu 222", ZŠ Zvolen, 1325 divákov,2018-02-09 18:00:00,1325.0,ZV,KE
HC 07 Detva,HK DUKLA Trenčín,0,2,," Piatok 09.02.2018, 18:00"," 45. kolo, Číslo zápasu 223", ZŠ Detva, 546 divákov,2018-02-09 18:00:00,546.0,DT,TN
MHK 32 Liptovský Mikuláš,MsHK DOXXbet Žilina,3,2,," Piatok 09.02.2018, 17:00"," 45. kolo, Číslo zápasu 224", ZŠ Lipt. Mikuláš, 660 divákov,2018-02-09 17:00:00,660.0,LM,ZI
HK Poprad,HC ‘05 iClinic Banská Bystrica,6,1,," Piatok 09.02.2018, 17:00"," 45. kolo, Číslo zápasu 225", ZŠ Poprad, 1098 divákov,2018-02-09 17:00:00,1098.0,PP,BB
HK Nitra,HC ‘05 iClinic Banská Bystrica,1,4,," Nedeľa 11.02.2018, 16:00"," 46. kolo, Číslo zápasu 226", Nitra Aréna, 3492 divákov,2018-02-11 16:00:00,3492.0,NR,BB
HK Poprad,MsHK DOXXbet Žilina,3,2,pp," Nedeľa 11.02.2018, 17:00"," 46. kolo, Číslo zápasu 227", ZŠ Poprad, 816 divákov,2018-02-11 17:00:00,816.0,PP,ZI
MHK 32 Liptovský Mikuláš,HK DUKLA Trenčín,3,2,pp," Nedeľa 11.02.2018, 17:00"," 46. kolo, Číslo zápasu 228", ZŠ Lipt. Mikuláš, 750 divákov,2018-02-11 17:00:00,750.0,LM,TN
HC 07 Detva,HC Košice,1,2,," Nedeľa 11.02.2018, 17:00"," 46. kolo, Číslo zápasu 229", ZŠ Detva, 511 divákov,2018-02-11 17:00:00,511.0,DT,KE
HKM Zvolen,HC Nové Zámky ,6,3,," Nedeľa 11.02.2018, 17:00"," 46. kolo, Číslo zápasu 230", ZŠ Zvolen, 1030 divákov,2018-02-11 17:00:00,1030.0,ZV,NZ
HKM Zvolen,HK Nitra,3,2,pp," Utorok 30.01.2018, 18:00"," 47. kolo, Číslo zápasu 231", ZŠ Zvolen, 1295 divákov,2018-01-30 18:00:00,1295.0,ZV,NR
HC Nové Zámky ,HC 07 Detva,1,4,," Utorok 30.01.2018, 18:30"," 47. kolo, Číslo zápasu 232", ZŠ Nové Zámky, 869 divákov,2018-01-30 18:30:00,869.0,NZ,DT
HC Košice,MHK 32 Liptovský Mikuláš,2,1,pp," Utorok 30.01.2018, 17:30"," 47. kolo, Číslo zápasu 233", STEEL Arena Košice, 2591 divákov,2018-01-30 17:30:00,2591.0,KE,LM
HK DUKLA Trenčín,HK Poprad,2,1,," Utorok 30.01.2018, 18:00"," 47. kolo, Číslo zápasu 234"," ZŠ Pavla Demitru, Trenčín", 1414 divákov,2018-01-30 18:00:00,1414.0,TN,PP
MsHK DOXXbet Žilina,HC ‘05 iClinic Banská Bystrica,1,2,," Utorok 30.01.2018, 18:00"," 47. kolo, Číslo zápasu 235", _, 724 divákov,2018-01-30 18:00:00,724.0,ZI,BB
HK Nitra,MsHK DOXXbet Žilina,3,2,," Streda 28.02.2018, 18:00"," 48. kolo, Číslo zápasu 236", Nitra Aréna, 2034 divákov,2018-02-28 18:00:00,2034.0,NR,ZI
HC ‘05 iClinic Banská Bystrica,HK DUKLA Trenčín,2,0,," Streda 28.02.2018, 17:30"," 48. kolo, Číslo zápasu 237", ZŠ Banská Bystrica, 2477 divákov,2018-02-28 17:30:00,2477.0,BB,TN
HK Poprad,HC Košice,4,2,," Streda 28.02.2018, 17:00"," 48. kolo, Číslo zápasu 238", ZŠ Poprad, 1280 divákov,2018-02-28 17:00:00,1280.0,PP,KE
MHK 32 Liptovský Mikuláš,HC Nové Zámky ,2,0,," Streda 28.02.2018, 17:00"," 48. kolo, Číslo zápasu 239", ZŠ Lipt. Mikuláš, 790 divákov,2018-02-28 17:00:00,790.0,LM,NZ
HC 07 Detva,HKM Zvolen,1,6,," Streda 28.02.2018, 18:00"," 48. kolo, Číslo zápasu 240", ZŠ Detva, 744 divákov,2018-02-28 18:00:00,744.0,DT,ZV
HC 07 Detva,HK Nitra,4,3,," Utorok 06.03.2018, 18:00"," 49. kolo, Číslo zápasu 241", ZŠ Detva, 211 divákov,2018-03-06 18:00:00,211.0,DT,NR
HKM Zvolen,MHK 32 Liptovský Mikuláš,5,2,," Utorok 06.03.2018, 18:00"," 49. kolo, Číslo zápasu 242", ZŠ Zvolen, 1018 divákov,2018-03-06 18:00:00,1018.0,ZV,LM
HC Nové Zámky ,HK Poprad,2,1,," Utorok 06.03.2018, 18:30"," 49. kolo, Číslo zápasu 243", ZŠ Nové Zámky, 528 divákov,2018-03-06 18:30:00,528.0,NZ,PP
HC Košice,HC ‘05 iClinic Banská Bystrica,4,5,sn," Utorok 06.03.2018, 17:30"," 49. kolo, Číslo zápasu 244", STEEL Arena Košice, 4158 divákov,2018-03-06 17:30:00,4158.0,KE,BB
HK DUKLA Trenčín,MsHK DOXXbet Žilina,5,0,," Utorok 06.03.2018, 18:00"," 49. kolo, Číslo zápasu 245"," ZŠ Pavla Demitru, Trenčín", 1683 divákov,2018-03-06 18:00:00,1683.0,TN,ZI
HK Nitra,HK DUKLA Trenčín,4,1,," Nedeľa 25.02.2018, 16:00"," 50. kolo, Číslo zápasu 246", Nitra Aréna, 2827 divákov,2018-02-25 16:00:00,2827.0,NR,TN
MsHK DOXXbet Žilina,HC Košice,3,6,," Nedeľa 25.02.2018, 17:00"," 50. kolo, Číslo zápasu 247", _, 627 divákov,2018-02-25 17:00:00,627.0,ZI,KE
HC ‘05 iClinic Banská Bystrica,HC Nové Zámky ,6,2,," Nedeľa 25.02.2018, 17:00"," 50. kolo, Číslo zápasu 248", ZŠ Banská Bystrica, 2425 divákov,2018-02-25 17:00:00,2425.0,BB,NZ
HK Poprad,HKM Zvolen,3,5,," Nedeľa 25.02.2018, 17:00"," 50. kolo, Číslo zápasu 249", ZŠ Poprad, 1006 divákov,2018-02-25 17:00:00,1006.0,PP,ZV
MHK 32 Liptovský Mikuláš,HC 07 Detva,1,2,pp," Nedeľa 25.02.2018, 18:00"," 50. kolo, Číslo zápasu 250", ZŠ Lipt. Mikuláš, 1061 divákov,2018-02-25 18:00:00,1061.0,LM,DT
MHK 32 Liptovský Mikuláš,HK Nitra,0,4,," Piatok 02.03.2018, 17:00"," 51. kolo, Číslo zápasu 251", ZŠ Lipt. Mikuláš, 823 divákov,2018-03-02 17:00:00,823.0,LM,NR
HC 07 Detva,HK Poprad,3,6,," Piatok 02.03.2018, 18:00"," 51. kolo, Číslo zápasu 252", ZŠ Detva, 250 divákov,2018-03-02 18:00:00,250.0,DT,PP
HKM Zvolen,HC ‘05 iClinic Banská Bystrica,4,2,," Piatok 02.03.2018, 18:00"," 51. kolo, Číslo zápasu 253", ZŠ Zvolen, 3180 divákov,2018-03-02 18:00:00,3180.0,ZV,BB
HC Nové Zámky ,MsHK DOXXbet Žilina,4,7,," Piatok 02.03.2018, 18:30"," 51. kolo, Číslo zápasu 254", ZŠ Nové Zámky, 634 divákov,2018-03-02 18:30:00,634.0,NZ,ZI
HC Košice,HK DUKLA Trenčín,0,3,," Piatok 02.03.2018, 17:30"," 51. kolo, Číslo zápasu 255", STEEL Arena Košice, 4250 divákov,2018-03-02 17:30:00,4250.0,KE,TN
HK Nitra,HC Košice,3,1,," Nedeľa 04.03.2018, 16:00"," 52. kolo, Číslo zápasu 256", Nitra Aréna, 2884 divákov,2018-03-04 16:00:00,2884.0,NR,KE
HK DUKLA Trenčín,HC Nové Zámky ,4,0,," Nedeľa 04.03.2018, 17:00"," 52. kolo, Číslo zápasu 257"," ZŠ Pavla Demitru, Trenčín", 2360 divákov,2018-03-04 17:00:00,2360.0,TN,NZ
MsHK DOXXbet Žilina,HKM Zvolen,5,0,," Nedeľa 04.03.2018, 17:00"," 52. kolo, Číslo zápasu 258", _, 605 divákov,2018-03-04 17:00:00,605.0,ZI,ZV
HC ‘05 iClinic Banská Bystrica,HC 07 Detva,7,2,," Nedeľa 04.03.2018, 17:00"," 52. kolo, Číslo zápasu 259", ZŠ Banská Bystrica, 2407 divákov,2018-03-04 17:00:00,2407.0,BB,DT
HK Poprad,MHK 32 Liptovský Mikuláš,3,2,," Nedeľa 04.03.2018, 17:00"," 52. kolo, Číslo zápasu 260", ZŠ Poprad, 964 divákov,2018-03-04 17:00:00,964.0,PP,LM
HK Poprad,HK Nitra,2,4,," Piatok 09.03.2018, 17:30"," 53. kolo, Číslo zápasu 261", ZŠ Poprad, 1142 divákov,2018-03-09 17:30:00,1142.0,PP,NR
MHK 32 Liptovský Mikuláš,HC ‘05 iClinic Banská Bystrica,3,1,," Piatok 09.03.2018, 17:30"," 53. kolo, Číslo zápasu 262", ZŠ Lipt. Mikuláš, 890 divákov,2018-03-09 17:30:00,890.0,LM,BB
HC 07 Detva,MsHK DOXXbet Žilina,1,4,," Piatok 09.03.2018, 17:30"," 53. kolo, Číslo zápasu 263", ZŠ Detva, 330 divákov,2018-03-09 17:30:00,330.0,DT,ZI
HKM Zvolen,HK DUKLA Trenčín,4,5,," Piatok 09.03.2018, 17:30"," 53. kolo, Číslo zápasu 264", ZŠ Zvolen, 1688 divákov,2018-03-09 17:30:00,1688.0,ZV,TN
HC Nové Zámky ,HC Košice,4,2,," Piatok 09.03.2018, 17:30"," 53. kolo, Číslo zápasu 265", ZŠ Nové Zámky, 832 divákov,2018-03-09 17:30:00,832.0,NZ,KE
HK Nitra,HC Nové Zámky ,2,3,," Nedeľa 11.03.2018, 17:00"," 54. kolo, Číslo zápasu 266", Nitra Aréna, 2789 divákov,2018-03-11 17:00:00,2789.0,NR,NZ
HC Košice,HKM Zvolen,0,3,," Nedeľa 11.03.2018, 17:00"," 54. kolo, Číslo zápasu 267", STEEL Arena Košice, 4287 divákov,2018-03-11 17:00:00,4287.0,KE,ZV
HK DUKLA Trenčín,HC 07 Detva,6,4,," Nedeľa 11.03.2018, 17:00"," 54. kolo, Číslo zápasu 268"," ZŠ Pavla Demitru, Trenčín", 2227 divákov,2018-03-11 17:00:00,2227.0,TN,DT
MsHK DOXXbet Žilina,MHK 32 Liptovský Mikuláš,4,3,pp," Nedeľa 11.03.2018, 17:00"," 54. kolo, Číslo zápasu 269", _, 763 divákov,2018-03-11 17:00:00,763.0,ZI,LM
